5_009555,여,8.2,1196,18.8,13.143029720025504
5_000908,남,4.6,1160,17.7,13.15398335315101
5_000791,남,4.1,1020,13.7,13.168012302960399
5_008677,여,4.8,1129,16.8,13.180181713910036
5_010284,여,11,1318,22.9,13.182708891247831
5_002397,남,10.4,1357,24.3,13.196129786923233
5_009231,여,6.9,1153,17.6,13.238965585459404
5_008687,여,4.8,1149,17.5,13.255557297714516
5_009314,여,7.2,1222,19.8,13.259366604075316
5_001436,남,6.6,1190,18.8,13.275898594732011
5_010485,여,11.7,1480,29.1,13.285244704163624
5_001725,남,7.8,1257,21,13.290727059730427
5_009125,여,6.5,1100,16.1,13.305785123966942
5_001595,남,7.3,1198,19.1,13.308212630399582
5_001067,남,5.2,1113,16.5,13.319674612458012
5_001509,남,6.9,1172,18.3,13.322810982073177
5_008933,여,5.8,1106,16.3,13.325310896670796
5_001637,남,7.4,1116,16.6,13.328451587209823
5_001957,남,8.6,1249,20.8,13.333324786330264
5_009589,여,8.3,1203,19.3,13.33601435590851
5_001926,남,8.5,1316,23.1,13.338291405290047
5_008293,여,3,887,10.5,13.34572155232349
5_009082,여,6.3,1190,18.9,13.346515076618882
5_009099,여,6.4,1221,19.9,13.34817059632784
5_001351,남,6.3,1105,16.3,13.349440019655617
5_002846,남,12.1,1338,23.9,13.350135512254193
5_007738,여,0.08,552,4.07,13.357225372820835
5_008969,여,5.9,1154,17.8,13.366213216631776
5_009664,여,8.6,1280,21.9,13.366699218749998
5_007776,여,0.25,589,4.64,13.374802909019632
5_001470,남,6.8,1176,18.5,13.376949419223473
5_008267,여,2.9,997,13.3,13.38016054180596
5_009784,여,9,1330,23.7,13.398157046752218
5_000886,남,4.5,1116,16.7,13.408743464241205
5_001661,남,7.5,1209,19.6,13.4092185641053
5_009765,여,8.9,1260,21.3,13.416477702191987
5_009097,여,6.3,1085,15.8,13.421393531397992
5_010144,여,10.4,1456,28.5,13.443802077043834
5_001402,남,6.5,1173,18.5,13.445461212024746
5_008837,여,5.4,1070,15.4,13.45095641540746
5_008891,여,5.5,1147,17.7,13.453845329425382
5_000643,남,3.3,960,12.4,13.454861111111112
5_007824,여,0.49,677,6.17,13.461945458393423
5_009320,여,7.3,1200,19.4,13.472222222222221
5_001777,남,8,1200,19.4,13.472222222222221
5_008417,여,3.6,997,13.4,13.480763252646605
5_009261,여,7,1155,18,13.493000505987519
5_008804,여,5.3,1142,17.6,13.495235261822902
5_001304,남,6.1,1082,15.8,13.495922181487694
5_009961,여,9.7,1268,21.7,13.496502104707977
5_009258,여,7,1180,18.8,13.501867279517382
5_001030,남,5,1054,15,13.502371016350471
5_008965,여,5.9,1112,16.7,13.505382744164377
5_009398,여,7.6,1241,20.8,13.505783137380435
5_009155,여,6.6,1192,19.2,13.512904824107023
5_001452,남,6.7,1204,19.6,13.520822065981614
5_008731,여,5,1091,16.1,13.526217758663712
5_008714,여,4.9,1101,16.4,13.529109446370693
5_001126,남,5.4,1111,16.7,13.529705805864115
5_009521,여,8.1,1315,23.4,13.532073616793651
5_009324,여,7.3,1269,21.8,13.537337280274425
5_009098,여,6.3,1104,16.5,13.537728418399494
5_009634,여,8.5,1320,23.6,13.544536271809
5_008366,여,3.3,905,11.1,13.552699856536735
5_009290,여,7.1,1190,19.2,13.5583645222795
5_001317,남,6.2,1168,18.5,13.560822856070558
5_009416,여,7.7,1202,19.6,13.565853915133127
5_002540,남,10.9,1387,26.1,13.56711746576642
5_009595,여,8.3,1229,20.5,13.572195140359668
5_009537,여,8.2,1273,22,13.575813823757553
5_002268,남,9.9,1307,23.2,13.58115825034875
5_008812,여,5.3,1082,15.9,13.581339410484452
5_008216,여,2.6,916,11.4,13.586697431399097
5_002194,남,9.6,1255,21.4,13.587085919271125
5_001767,남,8,1326,23.9,13.592860279046063
5_009167,여,6.7,1185,19.1,13.601808826933006
5_001037,남,5.1,1163,18.4,13.603742212042414
5_001542,남,7.1,1194,19.4,13.607961639577002
5_009319,여,7.3,1245,21.1,13.612683666392476
5_001396,남,6.4,1212,20,13.615222908429457
5_001355,남,6.3,1146,17.9,13.629621507695028
5_000785,남,4,969,12.8,13.632089085702177
5_010087,여,10.2,1365,25.4,13.632277368541105
5_009310,여,7.2,1202,19.7,13.635067455516458
5_007908,여,0.89,750,7.67,13.635555555555555
5_010515,여,11.8,1422,27.6,13.649284599452843
5_009587,여,8.3,1337,24.4,13.649822748100911
5_008502,여,4,1009,13.9,13.653137618715999
5_000845,남,4.3,1055,15.2,13.656476718851778
5_001934,남,8.5,1292,22.8,13.658714259697687
5_008781,여,5.2,1005,13.8,13.663028142867756
5_008703,여,4.8,1068,15.6,13.67672431931995
5_008432,여,3.7,1026,14.4,13.679422728360864
5_000655,남,3.4,952,12.4,13.681943365581528
5_009481,여,7.9,1221,20.4,13.683551767089847
5_007730,여,0.06,565,4.37,13.689404025373957
5_001280,남,6,1137,17.7,13.691541180210848
5_000826,남,4.2,1050,15.1,13.696145124716553
5_000942,남,4.7,1074,15.8,13.69772756433597
5_008869,여,5.5,1162,18.5,13.70122733372635
5_009197,여,6.8,1205,19.9,13.704998192179884
5_001194,남,5.7,1087,16.2,13.710583131412555
5_001227,남,5.8,1097,16.5,13.711049194413537
5_001732,남,7.8,1281,22.5,13.711477603672483
5_009965,여,9.7,1320,23.9,13.716712580348942
5_008751,여,5.1,1080,16,13.717421124828531
