ID,성별,나이,키 ,몸무게 ,BMI
20_남자_2241,남자,42,1737,77.1,
20_남자_2242,남자,35,1910,117.1,
20_남자_2243,남자,29,1741,70.9,
20_남자_2244,남자,23,1681,60,
20_남자_2245,남자,24,1810,73.9,
20_남자_2246,남자,25,1809,69.1,
20_남자_2247,남자,27,1844,74.8,
20_남자_2248,남자,26,1691,65.3,
20_남자_2249,남자,32,1745,59.8,
20_남자_2250,남자,34,1829,76.8,
20_남자_2251,남자,42,1678,69.3,
20_남자_2252,남자,26,1819,70.7,
20_남자_2253,남자,30,1826,95,
20_남자_2254,남자,26,1706,79.4,
20_남자_2255,남자,37,1762,92.2,
20_남자_2256,남자,41,1586,66.9,
20_남자_2257,남자,31,1774,75.8,
20_남자_2258,남자,23,1799,81.8,
20_남자_2259,남자,41,1724,79,
20_남자_2260,남자,43,1635,63.3,
20_남자_2261,남자,27,1794,99.9,
20_남자_2262,남자,30,1910,101.2,
20_남자_2263,남자,25,1640,53.2,
20_남자_2264,남자,24,1730,70.7,
20_남자_2265,남자,21,1726,73.1,
20_남자_2266,남자,39,1743,66.2,
20_남자_2267,남자,24,1769,95.4,
20_남자_2268,남자,33,1803,84.2,
20_남자_2269,남자,40,1819,86.8,
20_남자_2270,남자,23,1695,78.5,
20_남자_2271,남자,24,1765,71.7,
20_남자_2272,남자,24,1749,75,
20_남자_2273,남자,39,1750,78,
20_남자_2274,남자,30,1711,63.5,
20_남자_2275,남자,30,1692,63.8,
20_남자_2276,남자,36,1817,82.1,
20_남자_2277,남자,36,1726,62.3,
20_남자_2278,남자,30,1613,67.8,
20_남자_2279,남자,32,1854,89.2,
20_남자_2280,남자,40,1720,84.7,
20_남자_2281,남자,30,1829,89.2,
20_남자_2282,남자,36,1800,68.8,
20_남자_2283,남자,23,1730,67.3,
20_남자_2284,남자,37,1713,72.7,
20_남자_2285,남자,32,1873,84,
20_남자_2286,남자,42,1736,66.5,
20_남자_2287,남자,24,1809,79.3,
20_남자_2288,남자,39,1761,88.3,
20_남자_2289,남자,43,1626,61.5,
20_남자_2290,남자,39,1714,87.1,
20_남자_2291,남자,33,1783,76.9,
20_남자_2292,남자,38,1735,72.1,
20_남자_2293,남자,40,1642,75,
20_남자_2294,남자,27,1731,63.8,
20_남자_2295,남자,28,1667,69.2,
20_남자_2296,남자,28,1764,70.4,
20_남자_2297,남자,32,1719,62.3,
20_남자_2298,남자,23,1775,75.3,
20_남자_2299,남자,21,1696,55.9,
20_남자_2300,남자,22,1711,60.9,
20_남자_2301,남자,33,1782,63.3,
20_남자_2302,남자,24,1760,65.5,
20_남자_2303,남자,23,1749,64.3,
20_여자_2304,여자,35,1592,49.9,
20_여자_2305,여자,27,1609,42.2,
20_여자_2306,여자,27,1648,54.7,
20_여자_2307,여자,28,1556,56.2,
20_여자_2308,여자,37,1641,70.5,
20_여자_2309,여자,38,1596,48.4,
20_여자_2310,여자,28,1648,53.7,
20_여자_2311,여자,37,1665,61.3,
20_여자_2312,여자,34,1621,70.8,
20_여자_2313,여자,37,1644,54.9,
20_여자_2314,여자,40,1481,56,
20_여자_2315,여자,32,1565,47.9,
20_여자_2316,여자,30,1657,55.7,
20_여자_2317,여자,26,1586,53.8,
20_여자_2318,여자,28,1571,50.2,
20_여자_2319,여자,38,1624,55.6,
20_여자_2320,여자,37,1622,69.3,
20_여자_2321,여자,26,1637,52.2,
20_여자_2322,여자,38,1612,55.7,
20_여자_2323,여자,25,1586,66.7,
20_여자_2324,여자,29,1646,57.1,
20_여자_2325,여자,35,1678,53.6,
20_여자_2326,여자,30,1569,59.2,
20_여자_2327,여자,36,1626,53.1,
20_여자_2328,여자,29,1593,55.8,
20_여자_2329,여자,29,1617,71,
20_여자_2330,여자,30,1642,70.8,
20_여자_2331,여자,36,1570,43.6,
20_여자_2332,여자,33,1655,47.4,
20_여자_2333,여자,33,1624,55.6,
20_여자_2334,여자,30,1634,81.3,
20_여자_2335,여자,39,1641,58.8,
20_여자_2336,여자,35,1679,76.5,
20_여자_2337,여자,22,1498,55.6,
20_여자_2338,여자,42,1627,52.7,
20_여자_2339,여자,41,1576,49.1,
20_여자_2340,여자,24,1551,52.2,
20_여자_2341,여자,40,1537,45.7,
20_여자_2342,여자,20,1628,46.5,
20_여자_2343,여자,21,1676,71.2,
20_여자_2344,여자,36,1556,56.3,
20_여자_2345,여자,36,1697,56.3,
20_여자_2346,여자,36,1624,53.7,
20_여자_2347,여자,40,1556,43.7,
20_여자_2348,여자,39,1620,52.1,
20_여자_2349,여자,26,1593,50,
20_여자_2350,여자,42,1577,48.8,
20_여자_2351,여자,24,1618,54.1,
20_여자_2352,여자,28,1643,51.5,
20_여자_2353,여자,36,1629,70.8,
20_여자_2354,여자,36,1581,53.5,
20_여자_2355,여자,31,1661,78.5,
20_여자_2356,여자,35,1641,65.2,
20_여자_2357,여자,38,1585,62.3,
20_여자_2358,여자,37,1561,54.9,
20_여자_2359,여자,37,1658,63.8,
20_여자_2360,여자,42,1629,52,
20_여자_2361,여자,41,1633,63,
20_여자_2362,여자,37,1568,55.2,
20_여자_2363,여자,40,1608,52.2,
20_여자_2364,여자,38,1617,78.2,
