ID,성별,나이,키,몸무게,BMI
5_000274,남,1.6,784,10,
5_000275,남,1.6,838,11.6,
5_000276,남,1.6,815,12.4,
5_000277,남,1.6,850,11.4,
5_000278,남,1.6,820,12.8,
5_000279,남,1.6,970,15.2,
5_000280,남,1.6,872,11.9,
5_000281,남,1.6,844,12.4,
5_000282,남,1.7,913,13.5,
5_000283,남,1.7,749,8.8,
5_000284,남,1.7,830,11.4,
5_000285,남,1.7,855,11.9,
5_000286,남,1.7,862,13.1,
5_000287,남,1.7,823,12.2,
5_000288,남,1.7,832,11.2,
5_000289,남,1.7,865,13.1,
5_000290,남,1.7,828,13.2,
5_000291,남,1.7,818,11.5,
5_000292,남,1.7,795,9.3,
5_000293,남,1.7,760,8.9,
5_000294,남,1.7,847,12.6,
5_000295,남,1.7,858,12,
5_000296,남,1.7,862,12.8,
5_000297,남,1.7,787,12.2,
5_000298,남,1.7,850,11.9,
5_000299,남,1.7,870,13.4,
5_000300,남,1.8,875,12.9,
5_000301,남,1.8,800,11.2,
5_000302,남,1.8,891,14.5,
5_000303,남,1.8,803,10.8,
5_000304,남,1.8,847,11.1,
5_000305,남,1.8,821,12.9,
5_000306,남,1.8,867,13.2,
5_000307,남,1.8,891,15.1,
5_000308,남,1.8,880,13,
5_000309,남,1.8,866,14.4,
5_000310,남,1.8,895,13.5,
5_000311,남,1.8,870,12.6,
5_000312,남,1.8,868,12.2,
5_000313,남,1.8,905,14.3,
5_000314,남,1.8,834,12.5,
5_000315,남,1.8,887,11.7,
5_000316,남,1.8,832,11.8,
5_000317,남,1.8,886,14.9,
5_000318,남,1.8,822,11,
5_000319,남,1.9,912,18.1,
5_000320,남,1.9,901,15.5,
5_000321,남,1.9,874,14,
5_000322,남,1.9,829,12.8,
5_000323,남,1.9,870,11.7,
5_000324,남,1.9,841,11.9,
5_000325,남,1.9,873,13.7,
5_000326,남,1.9,834,11.3,
5_000327,남,1.9,874,14.5,
5_000328,남,1.9,862,14.1,
5_000329,남,1.9,844,11.7,
5_000330,남,1.9,819,11.4,
5_000331,남,1.9,814,11.7,
5_000332,남,1.9,870,14.9,
5_000333,남,1.9,847,12.6,
5_000334,남,2,971,16.2,
5_000335,남,2,911,15.8,
5_000336,남,2,836,12.3,
5_000337,남,2,866,11.4,
5_000338,남,2,940,15,
5_000339,남,2,837,11.5,
5_000340,남,2,915,15.5,
5_000341,남,2,864,11.4,
5_000342,남,2,879,12.1,
5_000343,남,2,891,13.7,
5_000344,남,2,894,12.4,
5_000345,남,2,823,12.1,
5_000346,남,2,972,17.4,
5_000347,남,2,868,11,
5_000348,남,2,857,13.6,
5_000349,남,2,843,11,
5_000350,남,2,877,12.6,
5_000351,남,2,851,11.9,
5_000352,남,2,908,13.8,
5_000353,남,2,836,11.5,
5_000354,남,2,935,14.6,
5_000355,남,2,866,13.8,
5_000356,남,2.1,936,15.1,
5_000357,남,2.1,871,12.8,
5_000358,남,2.1,908,12.3,
5_000359,남,2.1,897,15.7,
5_000360,남,2.1,861,15.7,
5_000361,남,2.1,853,11.7,
5_000362,남,2.1,857,10.8,
5_000363,남,2.1,1010,17.9,
5_000364,남,2.1,873,14,
5_000365,남,2.1,872,12.9,
5_000366,남,2.1,972,16.5,
5_000367,남,2.1,924,14.5,
5_000368,남,2.1,873,12.8,
5_000369,남,2.1,887,12.4,
5_000370,남,2.1,877,13.3,
5_000371,남,2.2,863,13.7,
5_000372,남,2.2,891,12.5,
5_000373,남,2.2,914,15.1,
5_000374,남,2.2,905,14,
5_000375,남,2.2,911,13.6,
5_000376,남,2.2,943,15.5,
5_000377,남,2.2,933,13,
5_000378,남,2.2,917,14.3,
5_000379,남,2.2,921,15.6,
5_000380,남,2.2,954,16.6,
5_000381,남,2.2,898,14,
5_000382,남,2.2,930,15.2,
5_000383,남,2.2,923,17.2,
5_000384,남,2.2,847,12.3,
5_000385,남,2.2,902,13.2,
5_000386,남,2.2,867,12.4,
5_000387,남,2.2,914,15.2,
5_000388,남,2.2,931,15.3,
5_000389,남,2.2,886,14,
5_000390,남,2.2,828,10.8,
5_000391,남,2.2,884,12.8,
5_000392,남,2.2,902,12.1,
5_000393,남,2.2,894,13.9,
5_000394,남,2.3,875,14.1,
5_000395,남,2.3,930,15.4,
5_000396,남,2.3,905,13.9,
5_000397,남,2.3,844,12.6,
5_000398,남,2.3,866,12.5,
5_000399,남,2.3,877,15.4,
5_000400,남,2.3,923,14,
5_000401,남,2.3,863,11.8,
5_000402,남,2.3,856,11.2,
5_000403,남,2.3,898,14,
5_000404,남,2.3,884,13.9,
5_000405,남,2.3,905,12.8,
5_000406,남,2.3,849,11.9,
5_000407,남,2.3,901,12.8,
5_000408,남,2.3,878,14.1,
5_000409,남,2.3,903,13.7,
5_000410,남,2.3,946,16.4,
5_000411,남,2.3,911,14,
5_000412,남,2.3,873,12.4,
5_000413,남,2.3,892,12.9,
5_000414,남,2.3,909,12.3,
5_000415,남,2.3,874,12,
5_000416,남,2.3,874,12.2,
5_000417,남,2.3,895,13.4,
5_000418,남,2.3,970,16,
5_000419,남,2.4,908,15.9,
5_000420,남,2.4,899,14.2,
5_000421,남,2.4,940,16,
5_000422,남,2.4,936,15.9,
5_000423,남,2.4,886,13.6,
5_000424,남,2.4,887,14.7,
5_000425,남,2.4,893,14.1,
5_000426,남,2.4,894,13.6,
5_000427,남,2.4,888,11.6,
5_000428,남,2.4,908,15.1,
5_000429,남,2.4,915,15.5,
5_000430,남,2.4,945,15.3,
5_000431,남,2.4,884,14,
5_000432,남,2.4,890,11.8,
5_000433,남,2.4,950,16.6,
5_000434,남,2.4,890,13.9,
5_000435,남,2.4,870,12.3,
5_000436,남,2.4,865,12,
5_000437,남,2.4,907,13.9,
5_000438,남,2.4,908,15.1,
5_000439,남,2.4,955,17,
5_000440,남,2.4,912,13.6,
5_000441,남,2.4,934,13.3,
5_000442,남,2.4,914,13.2,
5_000443,남,2.4,905,12.2,
5_000444,남,2.4,864,12.7,
5_000445,남,2.4,882,11.9,
5_000446,남,2.4,897,12.6,
5_000447,남,2.4,977,16.3,
5_000448,남,2.4,918,13.5,
5_000449,남,2.4,899,12.8,
5_000450,남,2.4,942,14.2,
5_000451,남,2.4,900,10.3,
5_000452,남,2.4,972,16.1,
5_000453,남,2.4,843,11,
5_000454,남,2.4,918,17,
5_000455,남,2.4,924,14.8,
