ID,성별,나이,키,몸무게,BMI
679,남자,3,938,140,
680,남자,4,1066,170,
681,남자,4,981,137.7943308,
682,남자,4,1082,185,
683,남자,4,1050,170,
684,남자,4,1094,175,
685,남자,4,1010,140,
686,남자,4,1061,170,
687,남자,4,1012,150,
688,남자,4,1114,201.0417817,
689,남자,4,1080,165,
690,남자,4,1058,165,
691,남자,4,1054,175,
692,남자,4,1027,160,
693,남자,4,1101,180,
694,남자,4,1052,180,
695,남자,4,1113,190,
696,남자,4,1045,145,
697,남자,4,1048,160,
698,남자,4,959.8213464,150,
699,남자,4,995,150,
700,남자,4,1090,180,
701,남자,4,1090,175,
702,남자,4,1093,190,
703,남자,4,1105,180,
704,남자,4,1037,190,
705,남자,4,1059,160,
706,남자,4,997,150,
707,남자,4,1002,170,
708,남자,4,1011,135,
709,남자,4,1111,200,
710,남자,4,1010,170,
711,남자,4,986,145,
712,남자,4,1114,180,
713,남자,4,1097,190,
714,남자,4,1000,145,
715,남자,4,1047,165,
716,남자,4,1120,185,
717,남자,4,1111,190,
718,남자,4,1115,213.3491217,
719,남자,4,990,170,
720,남자,4,991,155,
721,남자,4,1006,165,
722,남자,4,1061,176.6437813,
723,남자,4,1101,175,
724,남자,4,999,140,
725,남자,4,940.7638625,138.6342924,
726,남자,4,1047,170,
727,남자,4,1053,135,
728,남자,4,1106,205,
729,남자,4,1122,180,
730,남자,4,1100,200,
731,남자,4,1010,165,
732,남자,4,1052,170.9911697,
733,남자,4,1055,200,
734,남자,4,1141.568833,210,
735,남자,4,1033,160,
736,남자,4,1097,170,
737,남자,4,1056,200,
738,남자,4,1063,160,
739,남자,4,1033,165,
740,남자,4,1036,160,
741,남자,4,1026,175,
742,남자,4,1069,190,
743,남자,4,1000,150,
744,남자,4,1064,195,
745,남자,4,1028,165,
746,남자,4,1137,200,
747,남자,4,1074,185,
748,남자,4,1039,180,
749,남자,4,1044,170,
750,남자,4,1050,190,
751,남자,4,1044,180,
752,남자,4,1041,165,
753,남자,4,1050,170,
754,남자,4,1020,150,
755,남자,4,1114,195,
756,남자,4,1040,170,
757,남자,4,1084,200,
758,남자,4,1000,185,
759,남자,4,1074,160,
760,남자,4,1026,170,
761,남자,4,1060,200,
